Date,Record Number,Record Type,Address,Description,Permit Name,Status,Short Notes
2/11/2019,BM-201900785,Residential - HVAC,"1670 JOHNSON RD NE, ATLANTA GA 30306",Installation of HVAC System,Johnson Road,Issued,
2/11/2019,BB-201901013,Commercial Demolition,"946 MARTIN L KING JR DR SW, ATLANTA GA 00000",SITE AND BUILDING DEMO FOR  FUTURE ZAXBY'S COMMERCIAL DEVELOPMENT  / SAP-18-057EXISTING BUILDING IS 6120 SQ FT.  FORMERLY A PAWN SHOP.,DEMO 946 MLK DRIVE,Routed for Review,
2/11/2019,BB-201901007,Residential Misc. Non-Structural,"139 ORMOND ST SE, ATLANTA GA 30315",ERECT 4 FT HIGH OPEN FENCE IN HALF DEPT FRONT YARD AND ERECT 6FT HIGH PRIVACY FENCE IN SIDE AND REAR YARD ONLY.,FRALEY - FENCE - XPRS,Issued,
2/11/2019,BA-201901019,Arborist Dead Dying Hazardous Tree,"1760 NORTHSIDE DR NW, ATLANTA GA 30318",DDH Inspection,DDH Inspection,Accepted,
2/11/2019,19TMP-005342,Residential - Low Voltage,"1420 MAY AVE SE, ATLANTA GA 30316",,,,
2/11/2019,ZLA-201900715,Business Licenses,"730 PEACHTREE ST NE, ATLANTA GA 30308",SEVAA GROUP / STE 570TECHNOLOGY,SEVAA GROUP / STE 570,License Approved,
2/11/2019,BM-201900786,Commercial - HVAC,"494 PLASTER AVE NE, ATLANTA GA 30324",new hvac install,"Woof""s Sports Bar",Issued,
2/11/2019,BA-201901001,Arborist Dead Dying Hazardous Tree,"63 STANDISH AVE NW, ATLANTA GA 30309",,,ACA Pending,
2/11/2019,BB-201901024,Residential New,"840 WESTMONT RD SW, ATLANTA GA 30311",CONSTRUCTION OF A NEW SINGLE FAMILY RESIDENCE,NEW SFR,Open,
2/11/2019,BA-201901003,Arborist Dead Dying Hazardous Tree,"382 GRIFFIN ST NW, ATLANTA GA 30314",,,Accepted,
2/11/2019,ZLA-201900712,Business Licenses,"3445 STRATFORD RD NE, ATLANTA GA 30342",NO AIR B&B. ANNUAL LEASE,3445 STRATFORD RD #706,License Approved,
2/11/2019,BM-201900782,Residential - HVAC,"172 LINDBERGH DR NE, ATLANTA GA 30305","Replace air handler, heat strips and heat pump",Brandt/180282,Issued,
2/11/2019,BE-201901726,Residential - Electrical,"94 CRUMLEY ST SE, ATLANTA GA 30312",PUBLIC UTILITY,RESIDENTIAL/ELECTRICAL/PUBLIC UTILITY,Issued,
2/11/2019,BA-201901007,Arborist Plan Review,"1194 WYLIE ST SE, ATLANTA GA 30317",,Land Development - Townhomes,Closed - Approved,
2/11/2019,BM-201900793,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 5/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 5/ AKA 521 HANK AARON,Issued,
2/11/2019,BM-201900792,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 4/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 4/ AKA 521 HANK AARON,Issued,
2/11/2019,BP-201900917,Residential - Plumbing,"18 WHITEHOUSE DR SW, ATLANTA GA 30314",CHANGE OUT OF BATH/KITCHEN FIXTURES,RESIDENTIAL/PLUMBING,Issued,
2/11/2019,BP-201900922,Commercial - Plumbing,"3330 PEACHTREE RD NE, HRISE, ATLANTA GA 30326",Including but not limited to installation of new plumbing and fixtures.,CRIF Solutions - Suite 200,Issued,
2/11/2019,BE-201901740,Commercial - Electrical,"3290 NORTHSIDE PKWY NW, ATLANTA GA 30327","Minor electrical to include outlets, a light and occupancy sensors",Ornstein Schuler Investments,ACA Pending,
2/11/2019,BE-201901727,Commercial - Electrical,"1870 CAMPBELLTON RD SW, ATLANTA GA 30311","QLS GARDENS APARTMENTS - BLDG #HREPLACE EXISTING 600A MAIN WITH METER SOCKETS, DUE TO DAMAGE",COMMERCIAL / ELECTRICAL - BLDG #H,Issued,
2/11/2019,BM-201900787,Commercial - HVAC,"675 PONCE DE LEON AVE NE, ATLANTA GA 30308",Including but not limited to duct alterations and installation of new terminal units and air distribution.,Binders Ponce City Market,Accepted,
2/11/2019,BA-201901016,Arborist Dead Dying Hazardous Tree,"1719 NISKEY LAKE RD SW, ATLANTA GA 30331",DDH,DDH,Accepted,
2/11/2019,BP-201900921,Commercial - Plumbing,"675 PONCE DE LEON AVE NE, ATLANTA GA 30308",Including but not limited to installation of new plumbing and fixtures.,Whitebox Ponce City Market,Issued,
2/11/2019,BE-201901735,Residential - Electrical,"4036 STATEWOOD RD NE, ATLANTA GA 30342",Pool electric,Pool,Issued,
2/11/2019,BA-201901012,Arborist Complaint,"1462 NORRIS PL NW, ATLANTA GA 30314",Stop Work,Stop Work,Stop Work,
2/11/2019,BB-201901012,Residential Alteration,"373 5TH ST NE, ATLANTA GA 30308","GUT INTERIOR, REMOVE ROOF, INSTALL NEW ROOF, REMODEL DUPLEX, NEW FLOORS, DYWALL, FIXTURES, COUNTERTOPS, PLUMBING, HVAX, & ELECTRICAL WITH DECK(PREVIOUS QCR #201805881 VOIDED - NEW OWNER)",NON-CONFORMING DUPLEX - ALTERATIONS,Open,
2/11/2019,BA-201901011,Arborist Complaint,"1460 NORRIS PL NW, ATLANTA GA 00000",Stop Work,Stop Work,Stop Work,
2/11/2019,BA-201901014,Arborist Complaint,"1466 NORRIS PL NW, ATLANTA GA 30314",ComplaintWorking outside of approved scope/set of plans,Complaint,Investigation,
2/11/2019,BP-201900924,Residential - Plumbing,"2227 DUNSEATH AVE NW, ATLANTA GA 30318",SEWER PLUG,RESIDENTIAL/PLUMBING/,Issued,
2/11/2019,ZLA-201900728,Business Licenses,"3060 PHARR CT NW, ATLANTA GA 30305",BLDG TENANTS,BODY PARTZ,License Approved,
2/11/2019,BS-201900110,Sign Business,"756 WEST PEACHTREE ST NW, ATLANTA GA 30308",GEORGIA TECH WE WORKNEW PROJECTING,GEORGIA TECH WE WORK,Routed for Review,
2/11/2019,BA-201900995,Arborist Dead Dying Hazardous Tree,"2875 FABIN ST NW, ATLANTA GA 30318",,,Accepted,
2/11/2019,BA-201901017,Arborist Dead Dying Hazardous Tree,"488 OVERBROOK DR NW, ATLANTA GA 30318",,,ACA Pending,
2/11/2019,ZLA-201900734,Business Licenses,"240 NORTH HIGHLAND AVE NE, ATLANTA GA 30307",PHYSICIAN OFFICE,SKIN & BONES DOCS/ STE C2,License Approved,
2/11/2019,BP-201900927,Residential - Plumbing,"1155 REGENCY RD NW, ATLANTA GA 30327",SEWER PLUG,RESIDENTIAL/PLUMBING,Issued,
2/11/2019,QCR-2019-00750,Residential QCR,"2387 BEECHER RD SW, ATLANTA GA 30311",DEMO **lot currently vacant - no demo permit on file w/ city**FFE 1020GFE 1019.5,SFR - DEMO,Create Application,
2/11/2019,19CAP-00000191,Building Complaint,"3338 PEACHTREE RD NE, V LOT, ATLANTA GA 30326",FIRE RULING,Buildings-Other Case,Accepted-Building,Buildings-Other Case
2/11/2019,BB-201901023,Commercial Alteration,"1039 GRANT ST SE, ATLANTA GA 30315","INTERIOR ALTERATIONS TO AN EXISTING SPACE FOR RETAIL SALES TO INCLUDE ADDITION OF SLATWALLS. POWER,LIGHTING AND HVAC EXISTING TO REMAIN. NEW TENANT.",CULTURAL ACCENTS (LC) (CO),Open,
2/11/2019,BE-201901741,Commercial - Electrical,"270 PEACHTREE ST NW, ATLANTA GA 30303","Minor electrical to include power, lights and switching",International Society of Arboriculture,ACA Pending,
2/11/2019,ZLA-201900720,Business Licenses,"2011 BOLTON RD NW, ATLANTA GA 30318",FABULOUS HAIR BY BRIT / STE D,FABULOUS HAIR BY BRIT / STE D,License Approved,
2/11/2019,BP-201900920,Residential - Plumbing,"930 ASTOR AVE SW, ATLANTA GA 30310",PLUMBING REPIPING,RESIDENTIAL / PLUMBING,Issued,
2/11/2019,BE-201901731,Residential - Electrical,"632 SOUTH EUGENIA PL NW, ATLANTA GA 30318",REMODEL,RESIDENTIAL / ELECTRICAL - GENERAL,Issued,
2/11/2019,BB-201901008,Residential Alteration,"1354 MILLER REED AVE SE, ATLANTA GA 30315",REPLACING EXISTING WINDOWS,GRANT-WINDOWS-XPRS,Issued,
2/11/2019,BE-201901728,Commercial - Electrical,"1870 CAMPBELLTON RD SW, ATLANTA GA 30311",BLDG #HDISCONNECT AND RECONNECT,COMMERCIAL / ELECTRICAL - DISC.REC. - BLDG #H,Issued,
2/11/2019,BB-201901017,Residential Alteration,"3086 RHODENHAVEN DR NW, ATLANTA GA 30327","DEMO EXISTING CONCRETE SLAB AND INSTALL NEW CONCRETE SLAB,NEW FRAMING,DRYWALL,INSULATION,WINDOWS,DOORS,MEPS UPGRADE,INTERIOR BUILD OUT OF BASEMENT LEVEL AND 1ST FLOOR,SIDING",ST. AUBIN RESIDENCE,Open,
2/11/2019,BA-201901009,Arborist Plan Review,"777 TECHWOOD DR NW, ATLANTA GA 30313",,Techwood Dr Demo,Revisions Required,
2/11/2019,BA-201901005,Arborist Plan Review,"452 SAWTELL AVE SE, ATLANTA GA 30315",,(LD) ENVIRONMENTAL REMEDIES OFFICE BUILDING,Approved-No Trees Destroyed,
2/11/2019,BB-201901025,Residential Alteration,"3886 NORTHSIDE DR NW, ATLANTA GA 30342","INTERIOR AND EXTERIOR ALTERATIONS TO EXISTING HOME TO INCLUDE: REMOVAL OF WALLS IN BASEMENT AND MAIN FLOOR, ADDING WALLS IN BASEMENT AND MAIN FLOOR, PAINTING, FLOORING, KITCHEN AND BATHROOM COUNTERTOPS, FIXTURES, AND CABINETS, WINDOWS, RE ROOF (TPO SYSTEM), AND FASCIA.",ALTERATIONS,Open,
2/11/2019,BM-201900784,Residential - HVAC,"1943 KING GEORGE LN SW, ATLANTA GA 30331",hvac replacement,pat lundy,Issued,
2/11/2019,BB-201901020,Residential Pool,"662 BONAVENTURE AVE NE, ATLANTA GA 30306",NEW SWIMMING POOL & DECK,Single Family  Residence  - SELLERS POOL & POOL DECK,Open,
2/11/2019,BP-201900925,Residential - Plumbing,"2223 DUNSEATH AVE NW, ATLANTA GA 30318",SEWER PLUG,RESIDENTIAL/PLUMBING/,Issued,
2/11/2019,BM-201900799,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 1/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 1/ AKA 521 HANK AARON,Open,
2/11/2019,BM-201900797,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 1/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 1/ AKA 521 HANK AARON,Open,
2/11/2019,BE-201901743,Residential - Electrical,"2200 MAULDIN ST NW, ATLANTA GA 30318",(1) GFCI OUTLET & LIGHT,RESIDENTIAL / ELECTRICAL - GENERAL,Issued,
2/11/2019,ZLA-201900727,Business Licenses,"50 HURT PLZ SE, ATLANTA GA 30303","HINSON SECURITY SERVICES,LLC / STE 1140OFFICE USE","HINSON SECURITY SERVICES,LLC / STE 1140",License Approved,
2/11/2019,ZLA-201900718,Business Licenses,"1860 MEMORIAL DR SE, ATLANTA GA 30317",SPICE BISTRO 2 GO RESTAURANT BB-201808649,SPICE BISTRO 2 GO,License Approved,
2/11/2019,ZLA-201900717,Business Licenses,"2011 BOLTON RD NW, ATLANTA GA 30318","STARR STRUCK, LLC / STE 104-CEYELASH TECH","STARR STRUCK, LLC / STE 104-C",License Approved,
2/11/2019,ZLA-201900716,Business Licenses,"2191 CAMPBELLTON RD SW, ATLANTA GA 30311",US STAR 37 LLCCHECKERS,US STAR 37 LLC,License Approved,
2/11/2019,BE-201901744,Commercial - Electrical,"754 PEACHTREE ST NE, ATLANTA GA 30308",remove and add electrical receptacles and Light Fixtures,AT&T 754 Peachtree 9th Floor,ACA Pending,
2/11/2019,BA-201901004,Arborist Dead Dying Hazardous Tree,"115 BLACKLAND RD NW, ATLANTA GA 30342",,,Accepted,
2/11/2019,BE-201901734,Residential - Electrical,"30 SPENCE AVE NE, ATLANTA GA 30317",disconect/reconect servive,30 spencer ave ne atlanta,Issued,
2/11/2019,QCR-2019-00749,Commercial QCR,"1039 GRANT ST SE, ATLANTA GA 30315","INTERIOR ALTERATIONS TO AN EXISTING SPACE FOR RETAIL SALES TO INCLUDE ADDITION OF SLATWALLS. POWER,LIGHTING,AND EXISTING HVAC TO REMAIN.",CULTURAL ACCENTS,Create Application,
2/11/2019,QCR-2019-00748,Residential QCR,"1301 PLAZA AVE SW, ATLANTA GA 30310",CONSTRUCTION OF A NEW SINGLE FAMILY RESIDENCE WITH FRONT PORCH AND SIDE DECK,NEW SFR,Plan Inspection,
2/11/2019,BM-201900800,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",COMMERCIAL / HVAC BB-201802897,COMMERCIAL / HVAC,Invoiced,
2/11/2019,ZLA-201900719,Business Licenses,"2975 HEADLAND DR SW, ATLANTA GA 30311",GAMBISSARA FASHION - BOOTH #D-9RETAIL SALES CLOTHING (RETAIL USE ONLY),GAMBISSARA FASHION - BOOTH #D-9,License Approved,
2/11/2019,BA-201900998,Arborist Dead Dying Hazardous Tree,"1883 GARRAUX RD NW, ATLANTA GA 30327",,,Issued,
2/11/2019,BP-201900915,Commercial - Fire Sprinkler,"2809 PIEDMONT RD NE, ATLANTA GA 0",Add and relocate fire sprinkler heads off of existing system.,Mercedes Benz of Buckhead Phase 2 Parking Deck & Tech Rooms area 1,ACA Pending,
2/11/2019,BP-201900913,Commercial - Plumbing,"3750 PEACHTREE RD NE, ATLANTA GA 30319",PLUMBING FIXTURE REPLACEMENT -,CANTERBURY COURT UNIT 915,Issued,
2/11/2019,BS-201900108,Sign Business,"89 AIRLINE ST NE, ATLANTA GA",POUR TAPROOM (MAIN WALL SIGN)NEW WALL,POUR TAPROOM (MAIN WALL SIGN),Routed for Review,
2/11/2019,BA-201900988,Arborist Complaint,"187 CLEVELAND ST SE, ATLANTA GA 30354","ComplaintWorking outside of scope of approved set of plans.  Their is a concern from Mr. Oliver, he says builders removed trees from back of his fence in the alley way side on Arkwright & Walthall Street.  Please investigate this matter.",Complaint,Investigation,
2/11/2019,GP-201900016,Residential - Gas Pressure Test Only,"3829 BEECHWOOD DR NW, ATLANTA GA 30327",Gas Pressure Test ONLY,3829 BEECHWOOD,Issued,
2/11/2019,BE-201901709,Residential - Electrical,"1161 BRIARCLIFF PL NE, ATLANTA GA 30306",wire house,1161 briarcliff,Online Permit Pending,
2/11/2019,BM-201900778,Commercial - HVAC,"3343 PEACHTREE RD NE, ATLANTA GA 00000","Including but not limited to, duct alterations and installation of new air distribution and terminal units.",Atlanta Financial Center - 18th Floor HVAC,Issued,
2/11/2019,BB-201901000,Residential Alteration,"925 VIRGINIA CIR NE, ATLANTA GA 30306",UPDATE WINDOWS AND EXTERIOR FINISHES ON THE SUNROOM AT THE FRONT OF THE HOUSE. ADD ELECTRICAL OUTLETS AND NEW LIGHTING. PAINT THE INTERIOR AND EXTERIOR OF THE SUNROOM. UPDATE ALL SMOKE DETECTORS IN THE ENTIRE HOUSE,JOHNSON-ALTERATIONS-XPRS,Issued,
2/11/2019,BM-201900768,Residential - HVAC,"3556 KINGSBORO RD NE, ATLANTA GA 30319",hvac replacement,taylor winn,Issued,
2/11/2019,19TMP-005299,Residential - Plumbing,"1010 ASHBY GROVE SW, ATLANTA GA 30314",,,,
2/11/2019,BE-201901712,Residential - Electrical,"456 WEST PACES FERRY RD NW, ATLANTA GA 30305","R1- Single Family Residence-Building/Residential/Addition/NA-Interior renovations, Addition to existing structure, New garage/Service area and storage.",456 West Paces Ferry,Online Permit Pending,
2/11/2019,BM-201900767,Residential - HVAC,"690 GLADSTONE RD NW, ATLANTA GA 30318",INSTALL (3) FULL SYSTEMS WITH METAL DUCT OUT,Garrison HVAC,Issued,
2/11/2019,BM-201900776,Residential - HVAC,"755 FRASER ST SE, ATLANTA GA 30315",HVAC Install,755 Fraser ST SW,Invoiced,
2/11/2019,BE-201901711,Commercial - Electrical,"104 MARIETTA ST NW, ATLANTA GA 30303","TENANT REMODEL; RELOCATE & ADD LIGHTS & SWITCHES.  CONTACTS:  JASON RAKESTRAW, FOREMAN #678-409-6390; KEN AMANDOLIA, PROJECT MANAGER #678-428-3448; OFFICE #770-432-9915 X207-KEN; X201-DEBORAH MCMICHEN, ADMIN ASST (M/R JOB #C41274 CRIMINAL JUSTICE COORDINATING COUNCIL-STATE BAR OF GEORGIA)",CRIMINAL JUSTICE COORDINATING COUNCIL-STATE BAR,ACA Pending,
2/11/2019,BP-201900901,Commercial - Plumbing,"858 CHARLES ALLEN DR NE, ATLANTA GA 30308",Install plumbing for 4 apartments.,Charles Allen Renovation,Online Permit Pending,
2/11/2019,BM-201900766,Residential - HVAC,"2561 ACORN AVE NE, ATLANTA GA 30305",HVAC Install,2561 Acorn BB201808939,Issued,
2/11/2019,BM-201900765,Residential - HVAC,"33 MADDOX DR NE, ATLANTA GA 30309",hvac replacement,john rittermeyer,Issued,
2/11/2019,BS-201900109,Sign Business,"89 AIRLINE ST NE, ATLANTA GA",POUR TAPROOM (CANOPY BLADE SIGN)NEW CANOPY,POUR TAPROOM (CANOPY BLADE SIGN),Routed for Review,
2/11/2019,BA-201900985,Arborist Dead Dying Hazardous Tree,"3875 TUXEDO RD NW, ATLANTA GA 30342",DDH,DDH,Issued,
2/11/2019,BB-201901005,Residential Repair,"315 MILLEDGE AVE SE, ATLANTA GA 30312",REROOF,SMITH-REROOF-XPRS,Issued,
2/11/2019,BB-201901004,Residential Misc. Non-Structural,"139 ORMOND ST SE, ATLANTA GA 30315",INSTALLING A 6 FOOT PRIVACY FENCE IN SIDE AND REAR YARD.,FRALEY - FENCE - XPRS,Terminated,
2/11/2019,ORR-201900248,Open Record Request,"139 ORMOND ST SE, ATLANTA GA 30315",2 copies,139 Ormond St - ORR,Open,
2/11/2019,BE-201901721,Commercial - Low Voltage,"3575 PIEDMONT RD NE, ATLANTA GA 30305",Fire Alarm,Brookwood Associates,ACA Pending,
2/11/2019,QCR-2019-00739,Residential QCR,"233 BOLLING RD NE, ATLANTA GA 30305","INTERIOR RENOVATION,OPEN WALLS,KITCHEN AND BATHROOM RENOVATIONS,ADD 2 BATHROOMS AND 1 BEDROOM TO 2ND FLOOR,NEW WINDOWS TO FRONT OF HOUSE",HENLER RESIDENCE,Plan Inspection,
2/11/2019,BM-201900769,Residential - HVAC,"229 PEACHTREE HILLS AVE NE, ATLANTA GA 30305",HVAC Install,"229 Peachtree Hills, BB-201808030",Issued,
2/11/2019,BE-201901708,Residential - Electrical,"1161 BRIARCLIFF PL NE, ATLANTA GA 30306",tpole,1161 briarcliff,Issued,
2/11/2019,BE-201901718,Commercial - Low Voltage,"1175 PEACHTREE ST NE, ATLANTA GA 30309",C2 Office Building - Fire alarm alteration in tenant addition,"Schusterman Family Foundation, Ste 2050",ACA Pending,
2/11/2019,BT-201900325,Temporary Power,"1161 BRIARCLIFF PL NE, ATLANTA GA 30306",TPR,1161 briarcliff,Online Permit Pending,
2/11/2019,QCR-2019-00741,Residential QCR,"984 HARTE DR SW, ATLANTA GA 30310","REMODELING AN EXISTING RESIDENTIAL DWELLING INCLUDING NEW HVAC,ELECTRICAL,PLUMBING,AND SHEETROCK",REOH INC PROJECT,Plan Inspection,
2/11/2019,BW-201900065,Water Heater,"2232 DUNSEATH AVE, 414, ATLANTA GA 00000",wh replacement,2232 DUNSEATH AVENUE NORTHWEST 414,Issued,
2/11/2019,BE-201901720,Residential - Low Voltage,"3555 KNOLLWOOD DR NW, ATLANTA GA 30305",low voltage wiring for speakers and network,Sumter Low Voltage,Issued,
2/11/2019,BA-201900987,Arborist Dead Dying Hazardous Tree,"1055 FOXCROFT RD NW, ATLANTA GA 30327",,,Accepted,
2/11/2019,BP-201900909,Residential - Plumbing,"2139 FAIRHAVEN CIR NE, ATLANTA GA 30305",Sewer Plug,"2139 Fairhaven Circle Atlanta, GA",Issued,
2/11/2019,LD-201900016,Multi Family Land Development,"1460 LA FRANCE ST NE, ATLANTA GA 00000",Edgewood MARTA Phase 3 (LD) - Site work associated with the construction of a 5 story building and parking deck. Land Disturbance & infrastructure.,Edgewood MARTA Phase 3 (LD),Open,
2/11/2019,BA-201900992,Arborist Plan Review,"1399 BOULEVARD LORRAINE SW, ATLANTA GA 30311",,New SINGLE FAMILY RESIDENCE,Pending - Building,
2/11/2019,QCR-2019-00740,Residential QCR,"993 GRANT TER SE, ATLANTA GA 30315","ADD NEW WALLS IN BASEMENT,GARAGE TO MAKE NEW BATHROOM,CLOSET AREA AND OFFICE",SUBLER RESIDENCE,Plan Inspection,
2/11/2019,BA-201900994,Arborist Plan Review,"1944 MCLENDON AVE NE, ATLANTA GA 30307",,NEW SINGLE FAMILY RESIDENCE - CO,Pending - Building,
2/11/2019,BP-201900907,Commercial - Fire Sprinkler,"650 NORTH AVE NE, ATLANTA GA 30308",ADD/ RELOCATE SPRINKLERS TO CODE,BINDERS,ACA Pending,
2/11/2019,BE-201901717,Residential - Low Voltage,"879 LULLWATER PKWY NE, ATLANTA GA 00000","SECURITY SYSTEM INSTALLATION, CCTV INSTALLATION",Campbell Residence,Issued,
2/11/2019,19TMP-005316,Temporary Power,"974 BOLTON RD NW, ATLANTA GA 30331",Install Temporary pole for service,Bolton Road,,
2/11/2019,ZLA-201900708,Business Licenses,"234 WHITAKER CIR NW, ATLANTA GA 00000",PARAGON GROUP LLCGOVERNMENT CONTRACTS (HOME OCCUPATION - BUSINESS LISTING ONLY),PARAGON GROUP LLC,License Approved,
2/11/2019,BA-201900989,Arborist Plan Review,"955 SMITH ST SW, ATLANTA GA 30310",,RATHOD RESIDENCE 2ND STORY ADDITION/REAR DECK/INTERIOR REMODEL (CO),Accepted,
2/11/2019,BP-201900905,Residential - Plumbing,"645 BROOKLINE ST SW, ATLANTA GA 30310","ADDING PLUMBING FIXTURES, WATER HEATER",RESIDENTIAL/PLUMBING,Issued,
2/11/2019,BP-201900908,Commercial - Fire Sprinkler,"650 NORTH AVE NE, ATLANTA GA 30308",ADD/RELOCATE SPRINKLERS TO CODE,PCM WHITE BOXES,ACA Pending,
2/11/2019,BA-201900990,Arborist Plan Review,"1198 NILES AVE NW, ATLANTA GA 30318",,TROKON RESIDENCE  DEMOLITION  (19CAP-000000082 FIRE RULING),Accepted,
2/11/2019,BP-201900903,Commercial - Plumbing,"3343 PEACHTREE RD NE, ATLANTA GA 00000",Including but not limited to installation of new plumbing and fixtures.,Atlanta Financial Center - 18th Floor Plumbing,Issued,
2/11/2019,BB-201901003,Residential Alteration,"3093 WEST PINE VALLEY RD NW, ATLANTA GA 30305",BASEMENT FINISH,NEWBRIDGE CUSTOM HOMES LLC-BASEMENT-XPRS,Issued,
2/11/2019,BA-201900993,Arborist Dead Dying Hazardous Tree,"433 EAST ONTARIO AVE SW, ATLANTA GA 30310",,,ACA Pending,
2/11/2019,BM-201900777,Residential - HVAC,"795 FRASER ST SE, ATLANTA GA 30315",HVAC Install,795 Fraser St SE,Issued,
